,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
10,U001,0200803720,DEC corp,2020-04-09 04:20:16.531250000,2020,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,138.6,0-15
11,U001,0200794332,COST co,2020-03-28 22:36:30.218750000,2020,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,32715.47,0-15
12,U001,0200020431,DEC us,2020-05-25 18:51:25.468750000,2020,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,174.72,0-15
13,U001,0200769623,WAL-MAR associates,2020-04-11 06:52:30.375000000,2020,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,16-30
14,CA02,140105785,SHOPPE foundation,2020-05-08 00:13:43.250000000,2020,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,1980.7199999999998,16-30
15,U001,0200769623,WAL-MAR ,2020-03-29 00:13:57.875000000,2020,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,14514.68,16-30
16,U001,0200769623,WAL-MAR foundation,2020-05-10 12:52:55.500000000,2020,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,55400.31,16-30
17,U001,0200772670,ASSOCIAT corporation,2020-04-25 12:11:37.523437500,2020,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,174766.36,0-15
18,U001,0200900909,SYSCO systems,2020-04-19 05:26:16.281250000,2020,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,31512.75,0-15
19,U001,0200769623,WAL-MAR systems,2020-04-29 10:26:28.375000000,2020,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,19701.55,16-30
20,U001,0200726979,BJ'S  trust,2020-05-06 18:06:33.593750000,2020,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,132.72,0-15
21,U001,0200769623,WAL-MAR llc,2020-04-30 14:02:59.250000000,2020,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,1121.15,16-30
22,U001,0200769623,WAL-MAR llc,2020-05-06 10:46:29.375000000,2020,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,11394.84,16-30
23,CA02,0140105847,GORDON F co,2020-05-03 19:09:41.500000000,2020,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,2579.64,16-30
24,U001,0200744019,TARG foundation,2020-04-05 06:11:37.625000000,2020,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,52123.3,0-15
25,U001,0200769623,WAL-MAR systems,2020-04-09 18:26:22.000000000,2020,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,14994.01,16-30
26,U001,0200769623,WAL-MAR llc,2020-04-10 02:19:52.125000000,2020,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,36.06,16-30
27,U001,0200418007,AM in,2020-04-18 11:21:42.656250000,2020,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,25836.19,
28,U001,0200739006,AL foundation,2020-05-01 14:43:19.734375000,2020,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,4309.05,0-15
29,U001,0100031704,DELHAIZE associates,2020-05-02 19:30:22.531250000,2020,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,70181.07,0-15
30,U001,0200769623,WAL-MAR trust,2020-04-27 15:23:05.750000000,2020,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,3403.8,16-30
31,U001,0200744019,TARG systems,2020-05-19 09:50:58.906250000,2020,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,10665.53,0-15
32,U001,0200769623,WAL-MAR ,2020-04-20 00:29:30.875000000,2020,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,7280.51,16-30
33,U001,0200726979,BJ'S  corporation,2020-03-18 14:18:37.421875000,2020,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,13681.7,0-15
34,U001,0200706844,WINC associates,2020-05-10 09:47:59.250000000,2020,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,33947.85,16-30
35,U001,0200793830,M llc,2020-04-26 23:57:13.500000000,2020,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,4537.14,0-15
36,U001,0200769623,WAL-MAR foundation,2020-05-06 13:09:19.000000000,2020,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,14355.96,16-30
37,U001,0200769623,WAL-MAR systems,2020-05-05 18:49:42.500000000,2020,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,367.71,16-30
38,U001,0200769623,WAL-MAR trust,2020-06-05 23:43:28.750000000,2020,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,56284.77,16-30
39,U001,0200769623,WAL-MAR systems,2020-03-30 09:05:08.625000000,2020,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,50493.86,16-30
40,U001,0200769623,WAL-MAR llc,2020-05-21 03:15:53.375000000,2020,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,15489.43,16-30
41,CA02,0140104423,METRO  llc,2020-03-19 09:46:31.937500000,2020,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,93179.35199999998,0-15
42,U001,0200726979,BJ'S  systems,2020-05-12 15:55:37.875000000,2020,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,360.33,0-15
43,U001,0200743996,STATER  llc,2020-05-12 19:48:35.562500000,2020,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,3826.03,
44,U001,0200752302,KROGER trust,2020-04-19 08:54:56.625000000,2020,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,96674.05,0-15
45,CA02,140105686,SYSC llc,2020-06-01 19:57:28.875000000,2020,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,43230.299,0-15
46,U001,0200711029,WEGMAN corp,2020-05-04 06:16:14.875000000,2020,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,14382.22,16-30
47,CA02,CCU001,KRAFT  corporation,2020-05-09 05:13:23.000000000,2020,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,17828.068999999996,0-15
48,U001,0200769623,WAL-MAR llc,2020-05-21 02:01:54.125000000,2020,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,35509.95,16-30
49,U001,0200769623,WAL-MAR associates,2020-05-05 06:49:10.500000000,2020,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,13512.61,16-30
50,U001,0200772670,ASSOCIAT corp,2020-04-08 18:59:17.398437500,2020,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,24421.33,0-15
51,U001,0200769623,WAL-MAR co,2020-05-19 02:40:20.625000000,2020,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,11217.33,16-30
52,U001,0200769623,WAL-MAR systems,2020-05-13 18:26:22.000000000,2020,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,12554.13,16-30
53,U001,0200720238,WOODM co,2020-06-09 04:36:20.500000000,2020,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,126919.03,16-30
54,CA02,140106408,WAL-M in,2020-05-31 03:55:57.000000000,2020,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,28537.684,16-30
55,U001,0200769623,WAL-MAR co,2020-04-28 21:04:10.000000000,2020,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,24834.9,0-15
56,U001,0200769623,WAL-MAR us,2020-04-15 02:56:08.625000000,2020,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,50202.83,16-30
57,U001,0200769623,WAL-MAR us,2020-04-29 11:21:56.625000000,2020,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,8299.7,0-15
58,U001,0200799367,MCL corporation,2020-04-13 00:50:57.218750000,2020,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,51602.13,0-15
59,U001,0200759878,SA co,2020-05-03 00:04:04.937500000,2020,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,18900.99,0-15
60,U001,0200794332,COST corp,2020-03-29 21:17:11.960937500,2020,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,49467.7,0-15
61,U001,0200515231,US  us,2020-04-30 08:42:24.500000000,2020,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,10187.66,0-15
62,U001,0200782669,SYGMA corp,2020-04-07 12:29:24.437500000,2020,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,237.4,0-15
63,U001,200769623,WAL-MAR foundation,2020-06-11 13:17:19.000000000,2020,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,11532.84,16-30
64,U001,0200769623,WAL-MAR ,2020-04-23 01:26:26.875000000,2020,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,20017.92,16-30
65,U001,0200331749,SYSC foundation,2020-03-23 11:23:06.375000000,2020,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5320.85,0-15
66,U001,0200772670,ASSOCIAT associates,2020-05-11 19:52:22.875000000,2020,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,30900.83,0-15
67,U001,0200772670,ASSOCIAT us,2020-04-17 17:33:56.406250000,2020,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,65843.26,0-15
68,U001,0200706844,WINC foundation,2020-04-11 02:35:10.875000000,2020,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,359.44,16-30
69,U001,0100043975,JAVA ,2020-05-05 00:00:56.875000000,2020,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,1427.36,16-30
70,U001,0200762301,C&S WH in,2020-03-20 01:27:20.343750000,2020,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,99091.71,0-15
71,U001,0200148860,DOLLA associates,2020-06-04 15:09:02.984375000,2020,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,6543.44,
72,CA02,0100027744,OMEGA AD in,2020-05-27 21:54:59.687500000,2020,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,4924.5,0-15
73,U001,0100031704,DELHAIZE co,2020-03-17 14:39:57.078125000,2020,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,106394.18,0-15
74,U001,0200799420,HT HA foundation,2020-04-29 11:19:44.000000000,2020,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,801.1,16-30
75,U001,0200974851,RESTA systems,2020-04-13 19:28:00.312500000,2020,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,3566.69,0-15
76,U001,0200769623,WAL-MAR in,2020-05-28 02:06:23.125000000,2020,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8885.57,16-30
77,U001,0200793568,SUPE llc,2020-03-29 19:12:53.875000000,2020,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,15893.27,0-15
78,U001,0200759878,SA foundation,2020-03-25 05:29:55.625000000,2020,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,70180.8,0-15
79,U001,0200712187,SPAR in,2020-05-08 17:31:14.500000000,2020,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,119384.36,0-15
80,U001,0100047532,KEYSTON associates,2020-04-06 18:36:22.875000000,2020,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,11852.54,16-30
81,U001,0200794332,COST co,2020-03-18 18:48:45.740234375,2020,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,11225.42,
82,U001,0200148860,DOLLA associates,2020-05-28 17:50:04.031250000,2020,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,5456.75,
83,U001,200794332,COST llc,2020-05-24 05:51:31.859375000,2020,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,81500.86,0-15
84,U001,0200555117,BURR trust,2020-05-01 22:32:37.375000000,2020,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,749.14,16-30
85,U001,200769623,WAL-MAR in,2020-06-07 20:26:28.625000000,2020,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,2219.89,0-15
86,U001,0200772670,ASSOCIAT corp,2020-04-05 18:51:56.929687500,2020,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,15489.78,0-15
87,U001,200707822,PUBLI corporation,2020-05-23 16:05:42.218750000,2020,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,126107.91,0-15
88,CA02,0140104392,FLANAG us,2020-04-13 22:38:29.000000000,2020,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,2528.673,16-30
89,U001,0200769623,WAL-MAR corp,2020-05-28 01:19:17.125000000,2020,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,11545.38,16-30
90,U001,0200759878,SA systems,2020-04-18 15:57:58.000000000,2020,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,47646.57,0-15
91,U001,0200705742,DOT foundation,2020-03-08 16:30:51.875000000,2020,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5932.51,
92,U001,200793568,SUPE trust,2020-04-14 18:52:07.125000000,2020,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1635.76,0-15
93,U001,0200726979,BJ'S  ,2020-03-27 20:40:45.093750000,2020,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,1286.3,0-15
94,U001,0200704858,WAKE corp,2020-05-12 04:54:14.750000000,2020,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,99568.42,16-30
95,U001,0200780383,MEIJ in,2020-04-07 08:08:51.093750000,2020,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,3612.63,0-15
96,U001,0200762301,C&S WH associates,2020-04-26 23:08:14.648437500,2020,1930778021.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAC6,102276.04,
97,CA02,0140106271,LONGO  in,2020-04-25 21:53:28.312500000,2020,2960626604.0,2020-04-03 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-07 00:00:00.000000000,CA10,8615.453,0-15
98,CA02,0140104423,METRO  us,2020-05-12 16:21:37.812500000,2020,2960628851.0,2020-04-17 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-21 00:00:00.000000000,CA10,45059.545999999995,0-15
99,U001,0200741174,M B  co,2020-04-05 00:07:50.093750000,2020,1930657267.0,2020-03-16 00:00:00.000000000,2020-03-31 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAA8,5767.83,0-15
100,CA02,0100030194,AMAZO llc,2020-04-10 12:15:38.312500000,2020,2960622411.0,2020-03-18 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-20 00:00:00.000000000,CA10,9851.667,0-15
101,U001,0200769623,WAL-MAR trust,2020-04-29 15:03:22.375000000,2020,1930720012.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,42379.83,16-30
102,U001,0200592182,DECA in,2020-05-05 09:12:30.875000000,2020,1930822583.0,2020-04-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,1761.84,
103,U001,0200743996,STATER  co,2020-04-09 18:02:48.656250000,2020,1930686889.0,2020-03-22 00:00:00.000000000,2020-04-06 00:00:00.000000000,2020-03-22 00:00:00.000000000,NAA8,94612.03,0-15
104,U001,0200769623,WAL-MAR in,2020-05-15 12:48:42.625000000,2020,1930787980.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAH4,22226.35,16-30
105,U001,0200749782,KROG associates,2020-05-14 00:41:02.687500000,2020,1930822131.0,2020-04-25 00:00:00.000000000,2020-05-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,NAA8,88502.01,0-15
106,U001,0200744019,TARG corp,2020-05-22 13:39:33.125000000,2020,1930641073.0,2020-03-13 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAGD,1982.06,0-15
107,U001,0200769623,WAL-MAR foundation,2020-05-21 04:40:05.500000000,2020,1930804577.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,2326.08,16-30
108,U001,0200705742,DOT us,2020-03-13 01:23:43.906250000,2020,1930592413.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,9822.38,
109,U001,0200744019,TARG trust,2020-05-26 07:08:59.250000000,2020,1930857489.0,2020-05-05 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,NAA8,29592.42,0-15
110,U001,0200772670,ASSOCIAT associates,2020-04-19 12:21:12.570312500,2020,1930739252.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAU5,47903.76,0-15
111,U001,0200769623,WAL-MAR corporation,2020-04-23 01:34:31.500000000,2020,1930692953.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,1898.9,16-30
112,U001,0200900909,SYSCO in,2020-04-20 14:15:40.093750000,2020,1930741081.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,7524.17,0-15
113,U001,0200424504,M  in,2020-04-24 06:03:55.875000000,2020,1930830032.0,2020-04-28 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-04-15 00:00:00.000000000,NACG,2428.04,0-15
114,U001,0100031704,DELHAIZE trust,2020-06-19 07:27:19.828125000,2020,1930794735.0,2020-04-16 00:00:00.000000000,2020-06-20 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAGD,1176.59,
115,U001,0200764795,SYSCO  us,2020-04-24 09:12:41.000000000,2020,1930637455.0,2020-03-18 00:00:00.000000000,2020-04-19 00:00:00.000000000,2020-03-18 00:00:00.000000000,NA32,10978.51,0-15
116,U001,0200337148,COAS systems,2020-03-18 03:32:04.210937500,2020,1930587342.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,45127.79,0-15
117,U001,0200416837,DEC llc,2020-03-21 05:44:15.484375000,2020,1930599382.0,2020-03-04 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAM4,398.16,
118,U001,0200769623,WAL-MAR llc,2020-04-07 20:06:45.000000000,2020,1930623646.0,2020-03-09 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAH4,58726.21,0-15
119,U001,0200726979,BJ'S  associates,2020-03-28 06:43:26.273437500,2020,1930645815.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,588.49,0-15
120,U001,0200721222,GO us,2020-05-08 07:15:08.437500000,2020,1930800642.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,25685.07,0-15
121,U001,0200772595,SAFEW corporation,2020-04-18 22:21:06.843750000,2020,1930729101.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,10020.14,0-15
122,U001,0200820380,SMITH'S trust,2020-04-18 05:58:08.343750000,2020,1930716191.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAA8,48022.97,0-15
123,U001,0200793568,SUPE corporation,2020-05-04 09:51:48.468750000,2020,1930779652.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAA8,36623.03,0-15
124,U001,0200706844,WINC corp,2020-04-30 02:02:08.375000000,2020,1930732708.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAA8,22644.53,0-15
125,U001,0100043975,JAVA co,2020-04-03 07:30:24.500000000,2020,1930586661.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,7212.0,16-30
